call_oi,call_change_oi,call_volume,call_iv,call_ltp,call_change,call_bid_qty,call_bid,call_ask,call_ask_qty,strike,put_bid_qty,put_bid,put_ask,put_ask_qty,put_change,put_ltp,put_iv,put_volume,put_change_oi,put_oi,expiry,expiry_valid,is_holiday,call_data_available,put_data_available,data_quality,spot_price,valuation_date,days_to_expiry,T
152.0,-1.0,8.0,52.91,2930.0,-281.5,65,2883.05,2922.4,260,21200.0,1755,0.7,0.75,9945,-0.3,0.75,35.74,43033.0,3767.0,44272.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
1.0,,,60.38,2971.0,,65,2841.8,2923.75,780,21250.0,3900,0.7,0.85,9100,-0.25,0.85,35.57,3355.0,1020.0,1214.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
57.0,,,,3070.0,,780,2754.0,2871.3,780,21300.0,60645,0.65,0.8,6305,-0.25,0.8,34.76,16547.0,3229.0,13202.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
,,,,,,780,2541.95,2828.05,780,21350.0,1040,0.75,1.4,65,0.45,1.65,36.81,1520.0,279.0,501.0,2026-08-25,True,False,False,True,Missing call LTP,24154.900390625,2026-08-18,7,0.019178082191780823
2.0,,,,2616.3,,780,2528.55,2778.1,780,21400.0,73125,0.7,1.5,975,0.3,1.5,35.8,29948.0,8121.0,9009.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
,,,,,,1170,2491.7,2725.3,780,21450.0,975,0.95,1.95,1755,0.7,1.85,35.99,1194.0,422.0,504.0,2026-08-25,True,False,False,True,Missing call LTP,24154.900390625,2026-08-18,7,0.019178082191780823
5101.0,-31.0,105.0,42.59,2621.55,-95.45,325,2605.6,2613.55,130,21500.0,195,0.85,1.0,407485,-0.2,1.0,33.11,32489.0,5606.0,24381.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
,,,,,,780,2417.1,2625.2,780,21550.0,975,1.0,1.9,1235,0.6,1.8,34.6,740.0,150.0,231.0,2026-08-25,True,False,False,True,Missing call LTP,24154.900390625,2026-08-18,7,0.019178082191780823
,,,,,,780,2373.15,2578.0,780,21600.0,260,1.1,1.8,1755,-0.15,1.1,32.21,5624.0,206.0,1921.0,2026-08-25,True,False,False,True,Missing call LTP,24154.900390625,2026-08-18,7,0.019178082191780823
,,,,,,780,2328.85,2525.35,780,21650.0,975,1.3,3.2,975,1.0,2.3,34.28,1084.0,198.0,254.0,2026-08-25,True,False,False,True,Missing call LTP,24154.900390625,2026-08-18,7,0.019178082191780823
