CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,152,-1,8,52.91,"2,930.00",-281.50,65,"2,883.05","2,922.40",260,"21,200.00","1,755",0.70,0.75,"9,945",-0.30,0.75,35.74,"43,033","3,767","44,272",
,1,-,-,60.38,"2,971.00",-,65,"2,841.80","2,923.75",780,"21,250.00","3,900",0.70,0.85,"9,100",-0.25,0.85,35.57,"3,355","1,020","1,214",
,57,-,-,-,"3,070.00",-,780,"2,754.00","2,871.30",780,"21,300.00","60,645",0.65,0.80,"6,305",-0.25,0.80,34.76,"16,547","3,229","13,202",
,-,-,-,-,-,-,780,"2,541.95","2,828.05",780,"21,350.00","1,040",0.75,1.40,65,0.45,1.65,36.81,"1,520",279,501,
,2,-,-,-,"2,616.30",-,780,"2,528.55","2,778.10",780,"21,400.00","73,125",0.70,1.50,975,0.30,1.50,35.80,"29,948","8,121","9,009",
,-,-,-,-,-,-,"1,170","2,491.70","2,725.30",780,"21,450.00",975,0.95,1.95,"1,755",0.70,1.85,35.99,"1,194",422,504,
,"5,101",-31,105,42.59,"2,621.55",-95.45,325,"2,605.60","2,613.55",130,"21,500.00",195,0.85,1.00,"4,07,485",-0.20,1.00,33.11,"32,489","5,606","24,381",
,-,-,-,-,-,-,780,"2,417.10","2,625.20",780,"21,550.00",975,1.00,1.90,"1,235",0.60,1.80,34.60,740,150,231,
,-,-,-,-,-,-,780,"2,373.15","2,578.00",780,"21,600.00",260,1.10,1.80,"1,755",-0.15,1.10,32.21,"5,624",206,"1,921",
,-,-,-,-,-,-,780,"2,328.85","2,525.35",780,"21,650.00",975,1.30,3.20,975,1.00,2.30,34.28,"1,084",198,254,
,10,-,-,56.19,"2,535.00",-,65,"2,362.95","2,470.15",780,"21,700.00",975,1.60,4.00,975,0.60,1.90,32.89,"6,724",80,"1,603",
,-,-,-,-,-,-,780,"2,260.15","2,424.95",780,"21,750.00",975,1.70,3.70,910,2.40,3.70,34.97,"2,020",470,541,
,1,-,-,57.37,"2,540.00",-,65,"2,265.20","2,368.05",390,"21,800.00",845,2.00,4.15,975,0.55,2.00,31.80,"7,978",633,"1,713",
,-,-,-,-,-,-,780,"2,115.15","2,327.05",780,"21,850.00","1,755",1.10,2.95,975,1.30,2.85,32.51,786,158,258,
,6,-,-,53.60,"2,340.00",-,65,"2,160.20","2,269.00",780,"21,900.00",650,1.45,3.40,975,1.40,2.90,31.92,"3,000",122,935,
,-,-,-,-,-,-,"1,170","2,055.20","2,226.00",780,"21,950.00",910,1.80,3.20,910,0.40,1.80,29.51,536,123,268,
,"8,636",-958,"1,245",-,"2,113.05",-104.25,325,"2,106.50","2,117.85",130,"22,000.00",520,2.10,3.10,780,1.50,3.00,30.72,"54,317","-5,039","48,183",
,-,-,-,-,-,-,780,"1,994.95","2,124.15",780,"22,050.00",910,2.35,4.00,975,0.90,2.35,29.15,"1,266",230,436,
,-,-,-,-,-,-,780,"1,853.55","2,075.75",780,"22,100.00",975,2.05,3.90,975,1.80,3.40,29.86,"12,275","2,139","4,402",
,2,-,-,-,"2,147.40",-,65,"1,915.10","2,016.50",780,"22,150.00",975,2.20,3.60,975,1.50,3.30,29.07,"4,231","1,981","2,356",
,6,-,-,46.36,"2,122.25",-,65,"1,866.25","1,967.90",780,"22,200.00",975,1.65,3.45,975,1.95,3.55,28.67,"19,632","1,859","7,343",
,1,-,-,-,"1,585.40",-,65,"1,762.80","1,916.60",780,"22,250.00",975,2.30,3.95,975,0.70,2.35,26.54,"4,516","2,229","2,470",
,28,-,-,58.98,"2,113.80",-,780,"1,756.50","1,814.30",130,"22,300.00",975,2.20,3.50,650,1.70,3.45,27.20,"23,459","2,608","9,323",
,2,-,1,33.40,"1,780.00",-14.90,65,"1,722.90","1,811.80",780,"22,350.00",975,2.70,4.20,975,2.05,3.75,26.83,"6,393","2,321","2,503",
,31,-,4,-,"1,702.75",-222.25,780,"1,666.10","1,758.75",780,"22,400.00","1,690",3.50,4.25,780,1.70,3.55,25.95,"16,994","2,456","5,776",
,1,-,-,-,"2,199.25",-,65,"1,576.30","1,714.30",845,"22,450.00","1,755",3.70,4.10,975,1.85,3.75,25.46,"6,065","2,539","3,037",
,"4,099",-340,541,-,"1,606.05",-116.20,65,"1,608.85","1,619.40",65,"22,500.00",325,2.55,4.00,520,1.35,3.35,24.39,"1,19,547","4,397","60,338",
,101,99,115,27.10,"1,573.50",-199.75,65,"1,525.90","1,613.35",975,"22,550.00",975,2.80,4.45,910,1.60,3.70,24.04,"10,869","2,875","3,726",
,123,98,111,29.71,"1,531.40",-118.15,65,"1,487.95","1,565.55",65,"22,600.00",520,2.70,4.00,520,0.55,2.60,22.26,"29,345",838,"6,293",
,106,94,116,29.03,"1,481.90",-172.00,65,"1,444.85","1,511.85",780,"22,650.00",780,2.10,3.85,975,1.50,3.70,22.66,"5,422",-72,901,
,170,81,113,21.90,"1,419.20",-287.60,65,"1,398.95","1,427.40",260,"22,700.00",585,2.40,4.00,325,2.30,4.30,22.46,"45,945",372,"12,530",
,122,102,134,23.12,"1,372.05",53.25,780,"1,329.15","1,381.60",130,"22,750.00","1,235",2.80,4.85,975,1.90,4.00,21.53,"23,012",509,"2,630",
,78,-2,12,18.56,"1,317.45",-294.55,65,"1,305.60","1,324.30",65,"22,800.00","1,235",3.15,4.00,"1,300",0.90,3.15,20.13,"80,954",284,"24,459",
,295,286,309,-,"1,262.50",-275.95,65,"1,237.90","1,313.65","1,690","22,850.00","1,235",3.40,4.45,975,0.50,3.15,19.45,"25,748","1,460","3,013",
,76,-2,13,25.09,"1,233.00",-101.50,65,"1,187.10","1,223.20",65,"22,900.00",520,3.55,4.20,520,0.65,3.40,18.98,"1,11,244","23,049","31,998",
,3,-,-,22.91,"1,580.55",-,780,"1,128.00","1,213.30",780,"22,950.00",650,2.95,4.40,845,1.65,4.40,19.01,"28,943","1,219","3,207",
,"6,033",-515,"1,622",-,"1,110.15",-127.35,65,"1,115.00","1,118.85",65,"23,000.00","1,235",3.45,4.35,"2,600",0.15,3.15,17.40,"3,45,854","19,446","1,55,396",
,6,-1,4,23.82,"1,088.05",-346.95,780,"1,022.75","1,093.75",845,"23,050.00","1,885",3.20,4.40,130,0.20,3.20,16.76,"44,575","3,372","5,538",
,79,-4,25,16.33,"1,019.80",-122.05,130,"1,006.25","1,021.90",390,"23,100.00",650,2.95,4.45,130,0.20,3.40,16.21,"1,49,246","8,099","17,558",
,12,6,13,-,965.90,-393.10,65,929.35,"1,029.55","1,105","23,150.00",975,3.05,4.80,845,-0.15,3.20,15.38,"49,666","2,410","4,946",
,320,-72,235,-,910.65,-104.55,195,909.60,922.90,65,"23,200.00",130,3.60,4.50,"1,755",-0.05,3.45,14.85,"1,83,622","-2,120","34,152",
,14,-,2,-,863.90,-256.10,65,829.50,931.00,780,"23,250.00",390,3.50,4.50,"1,235",0.15,3.90,14.43,"74,437","3,199","8,481",
,419,8,480,-,815.00,-103.65,65,813.60,824.30,195,"23,300.00",520,4.05,4.45,520,0.75,4.75,14.16,"2,12,581","9,853","30,024",
,54,31,114,14.98,775.30,-135.90,65,743.15,830.90,"1,690","23,350.00",390,4.60,4.85,"1,235",0.20,4.60,13.35,"1,01,866","8,590","16,138",
,464,20,345,14.09,725.10,-109.30,65,696.65,726.70,65,"23,400.00",520,4.90,5.20,"1,170",0.50,5.30,12.93,"2,19,382","11,255","38,846",
,37,7,37,13.38,675.50,-104.45,65,646.00,714.25,780,"23,450.00",585,5.40,5.80,"1,170",0.10,5.55,12.28,"1,36,458","2,569","15,502",
,"7,375",203,"6,081",5.16,616.90,-115.90,65,616.15,620.00,65,"23,500.00",975,6.45,6.80,"11,700",0.05,6.45,11.84,"4,60,825","26,812","1,29,792",
,223,133,425,-,564.50,-132.50,65,566.60,575.90,65,"23,550.00",130,7.40,7.70,65,0.35,7.70,11.45,"2,35,776","17,833","26,288",
,"3,927",235,"4,288",6.37,517.30,-117.50,455,520.10,522.95,65,"23,600.00",975,9.15,9.45,"2,600",0.80,9.35,11.09,"3,90,228","20,936","73,738",
,600,506,"2,034",8.09,469.95,-107.10,130,471.85,476.60,65,"23,650.00",910,11.35,11.80,"1,495",0.80,11.30,10.71,"2,42,908","12,606","31,215",
,"4,587","1,784","13,510",9.59,427.50,-107.10,325,426.30,430.00,65,"23,700.00",195,14.60,15.00,"1,170",1.95,14.95,10.55,"5,99,792","16,916","1,26,137",
,779,621,"5,859",9.18,379.95,-111.20,195,379.80,383.85,65,"23,750.00","1,365",19.00,19.35,"1,170",3.20,19.35,10.35,"3,88,725","-1,754","26,188",
,"12,288","2,708","69,443",9.07,335.00,-109.15,130,335.75,337.00,130,"23,800.00","4,810",24.70,25.05,975,4.20,24.70,10.11,"7,77,896","18,122","82,915",
,"1,557","1,342","34,522",9.14,293.00,-104.60,130,294.10,295.00,455,"23,850.00",65,32.10,32.60,845,6.80,32.55,10.01,"4,51,032","7,189","25,141",
,"8,383","4,744","1,49,103",9.35,254.75,-102.25,130,253.85,255.45,65,"23,900.00","6,305",42.00,42.10,"1,170",9.40,42.00,9.86,"8,97,969","15,966","58,640",
,"6,796","5,819","1,52,121",9.28,216.85,-102.15,130,216.00,219.00,65,"23,950.00",455,54.40,54.70,"1,170",13.50,54.40,9.78,"7,26,534","14,890","26,549",
,"1,27,713","33,381","10,96,678",9.18,181.25,-96.30,195,181.65,182.90,195,"24,000.00","3,250",70.00,70.15,130,18.20,70.10,9.76,"25,09,725","34,745","2,10,294",
,"49,500","47,819","12,65,907",9.21,150.35,-89.70,455,150.35,150.70,195,"24,050.00","2,405",88.00,88.25,715,23.90,88.25,9.68,"21,87,213","33,780","46,397",
,"1,51,765","1,22,034","24,62,931",9.25,123.10,-82.35,650,123.05,123.10,130,"24,100.00",715,110.60,111.10,195,31.40,111.10,9.73,"29,95,866","49,110","1,05,284",
,"51,777","40,220","12,58,905",9.39,100.35,-72.65,715,99.25,99.80,195,"24,150.00",195,136.10,136.60,520,39.20,136.65,9.73,"12,44,374","10,405","29,591",
,"1,70,536","63,984","17,43,779",9.28,78.15,-66.50,"1,105",78.45,78.70,195,"24,200.00",325,165.25,165.85,325,47.95,165.85,9.76,"11,90,864","-6,525","98,013",
,"58,432","25,647","6,95,674",9.42,62.10,-56.15,"1,170",61.75,62.10,130,"24,250.00",195,198.05,198.95,130,55.20,197.20,9.71,"3,04,957","-6,308","16,154",
,"1,78,607","56,034","11,45,333",9.45,47.70,-47.90,"1,235",47.65,48.25,130,"24,300.00",65,233.10,236.30,130,63.75,233.20,9.81,"3,33,857","-12,339","74,039",
,"38,775","15,295","4,38,394",9.57,36.90,-39.35,"1,170",36.95,37.60,65,"24,350.00",195,272.10,274.95,130,71.35,269.60,9.68,"60,202","-1,614","9,852",
,"1,35,246","32,610","7,56,388",9.74,28.65,-30.50,520,28.70,28.95,260,"24,400.00",65,314.05,316.00,130,82.10,314.55,10.26,"1,05,843","-5,279","48,351",
,"39,039","-19,158","4,35,554",9.93,22.30,-23.30,650,22.15,22.50,390,"24,450.00",65,355.60,361.00,130,91.05,361.50,10.97,"14,223",-589,"6,808",
,"2,28,681","42,774","9,51,238",10.20,17.75,-17.80,"1,300",17.60,17.75,"2,405","24,500.00",130,402.60,404.55,325,97.00,404.25,11.00,"62,793","-7,588","77,567",
,"52,905","28,220","3,18,896",10.37,13.65,-13.30,"1,885",13.65,13.70,"1,105","24,550.00",65,446.85,451.15,325,99.05,451.00,11.45,"8,070",-421,"3,677",
,"1,08,162","28,345","4,77,456",10.60,10.70,-9.90,325,10.70,11.00,"1,300","24,600.00",260,496.00,499.35,65,107.00,499.00,12.03,"14,801","-1,997","18,251",
,"36,904","8,247","2,66,888",10.99,9.00,-6.80,"1,625",9.00,9.20,"2,535","24,650.00","1,690",543.75,547.35,65,106.20,546.45,12.43,"2,255",223,"3,051",
,"1,08,502","19,948","5,20,672",11.28,7.30,-5.05,585,7.05,7.40,260,"24,700.00",65,594.00,594.90,130,107.45,596.00,13.21,"9,824",-769,"14,950",
,"32,555","7,082","2,71,682",11.68,6.25,-3.35,325,6.05,6.30,455,"24,750.00",65,641.60,645.80,65,105.40,646.00,14.07,"1,612",96,"1,744",
,"1,15,522","21,876","5,15,108",12.04,5.30,-2.35,780,5.05,5.30,"5,655","24,800.00",65,692.30,692.80,325,114.35,696.30,14.98,"3,886",-855,"8,766",
,"25,636","8,703","2,80,358",12.42,4.55,-1.85,"1,885",4.55,4.85,"1,170","24,850.00",65,737.75,746.30,65,106.90,739.60,14.00,561,56,847,
,"89,917","27,400","4,93,563",12.96,4.25,-1.10,"4,290",4.05,4.30,780,"24,900.00",130,784.80,793.40,65,115.35,796.45,16.69,"1,132",-224,"2,985",
